instance_id,url,defect_categories,fix_locus,fix_effort,fix,still_failing_configs,passing_configs,issue_summary
instance_NodeBB__NodeBB-00c70ce7b0541cfc94afe567921d7668cdc8f4ac-vnan,https://jeff-da.github.io/audit-nonvalids/NodeBB__NodeBB-00c70ce7b0541cfc94afe567921d7668cdc8f4ac-vnan/,Unstated requirement,instructions,trivial,"In New Interfaces, the `del` entry says ""Input: `pid`"" with ""Removes a post entry from the shared cache"". Replace with: ""Input: `key` (the exact cache key string, e.g. `'1|default'`) — `del(key)` must delete that key verbatim from the shared cache, NOT expand a pid into per-type `${pid}|${type}` keys."" Test calls del('1|default') with a full key.",claude-code + Opus 5,codex + GPT-5.6; mini-swe + Opus 5; mini-swe + GPT-5.6,"Models attempt to rewrite the posts cache with the specified getOrCreate() and reset() functions, and add a del function that treats its argument as a post ID, expanding it into the per-type cache keys of the form pid|type before deleting. According to the task instructions, this should be acceptable because the interface description for del says ""Input: `pid`"" and that it ""Removes a post entry from the shared cache"" -- so interpreting the argument as a post ID is a faithful reading, and the stated requirements otherwise list only getOrCreate() and reset(). However, the graded test calls del('1|default') with a full, already-composed cache key and asserts that exact entry disappears (failing with actual: 'first' and the message ""module-level del must remove the targeted entry""), which only a verbatim pass-through delete satisfies. The reference solution passes the argument straight through as the cache key, a contract the instructions never state, so the failure is not a model error."
instance_NodeBB__NodeBB-18c45b44613aecd53e9f60457b9812049ab2998d-v0495b863a912fbff5749c67e860612b91825407c,https://jeff-da.github.io/audit-nonvalids/NodeBB__NodeBB-18c45b44613aecd53e9f60457b9812049ab2998d-v0495b863a912fbff5749c67/,Unstated requirement,tests,moderate,"In the hidden test/api.js openapi walk, add a mock override for `PUT /groups/{slug}/invites/{uid}` (as already done for DELETE) so the walk doesn't execute acceptInvite with arbitrary yaml `example:` values. Alternatively add spec sentence after ""must define all three operations on `/groups/{slug}/invites/{uid}`..."": ""Path-parameter `example` values must resolve against the live test fixture: `uid` example must be `1` (the calling admin) and `slug` an existing group.""",claude-code + Opus 5; codex + GPT-5.6; mini-swe + Opus 5,mini-swe + GPT-5.6,"Models attempt to implement the group-invite API and document it in the OpenAPI schema, and they succeed: all seven feature tests for the new invite endpoints pass. According to the task instructions, the schema only needs to ""define all three operations... and their HTTP 200 response schemas"" for the invite routes; nothing says the documentation's illustrative `example:` values must be chosen to satisfy a live test fixture. However, a hidden schema-walk test (test/api.js) actually executes every documented route as the admin user with whatever example values the model wrote into the YAML, and because accepting an invite requires the caller's uid to match the route's uid, any example other than uid 1 plus an existing group slug produces ""PUT /groups/{slug}/invites/{uid} sent back unexpected HTTP status code: 400"". Models that picked reasonable examples like uid 2 with a placeholder slug are failed on this undocumented coupling between doc examples and fixture state, so the failure is not a model error."
instance_NodeBB__NodeBB-22368b996ee0e5f11a5189b400b33af3cc8d925a-v4fbcfae8b15e4ce5d132c408bca69ebb9cf146ed,https://jeff-da.github.io/audit-nonvalids/NodeBB__NodeBB-22368b996ee0e5f11a5189b400b33af3cc8d925a-v4fbcfae8b15e4ce5d132c40/,Whole-suite collateral,f2p_config,trivial,"Drop the 5 flaky ACP-upload P2P tests in test/uploads.js from pass_to_pass — they assert translated i18n strings (""You are not authorised to make this call"", folder-exists, invalid-path, invalid-image-dimensions) but the translation layer intermittently returns raw keys ('api.403' etc.), unrelated to the task's uploads.js scope. Alternatively rebuild image ensuring language assets are compiled so translation resolves deterministically.",mini-swe + GPT-5.6,claude-code + Opus 5; codex + GPT-5.6; mini-swe + Opus 5,"Models attempt to extract the orphan-cleanup logic into a cleanOrphans function in src/posts/uploads.js exactly as specified, with the expiry threshold, the getOrphans filter, and the cron job calling cleanOrphans, and all three of the tests written for the new behavior pass. According to the task instructions, this is precisely the required scope of the change. However, the run is graded on the whole test suite, and five unrelated pre-existing tests in test/uploads.js fail because the admin upload error paths return raw untranslated i18n keys such as 'api.403', 'invalid-path', 'folder-exists', and 'invalid-image-dimensions' where the tests expect translated text like ""You are not authorised to make this call"". This is a translation-layer flake in code the model never touched and that has nothing to do with the uploads.js refactor, so the failure is not a model error."
instance_NodeBB__NodeBB-be43cd25974681c9743d424238b7536c357dc8d3-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,https://jeff-da.github.io/audit-nonvalids/NodeBB__NodeBB-be43cd25974681c9743d424238b7536c357dc8d3-vf2cf3cbd463b7ad942381f1/,Unstated requirement,instructions,trivial,"Spec says only ""tracked for that post in a per-post collection identified by the post's `pid` together with a `backlinks` suffix""; test reads db.getSortedSetMembers('pid:2:backlinks') and a plain set WRONGTYPEs. Append: ""This collection must be stored as a sorted set (scores = timestamp), i.e. written via db.sortedSetAdd."" Alternatively loosen the test to db.exists+type-agnostic membership.",codex + GPT-5.6; mini-swe + GPT-5.6,claude-code + Opus 5; mini-swe + Opus 5,"Models attempt to implement backlink syncing by storing each post's backlinks in a plain Redis set under the key pid:N:backlinks. According to the task instructions, this should be acceptable because the spec asks only for backlinks to be ""tracked for that post in a per-post collection identified by the post's `pid` together with a `backlinks` suffix"" — the type of collection is never stated, and a plain set satisfies every written requirement. However, the graded test ""should create a backlink..."" reads the key with db.getSortedSetMembers('pid:2:backlinks'), which requires a Redis sorted set, so a plain-set implementation dies with ""WRONGTYPE Operation against a key holding the wrong kind of value"". The failure hinges on an unstated data-structure choice, not a model error."
instance_NodeBB__NodeBB-f1a80d48cc45877fcbadf34c2345dd9709722c7f-v4fbcfae8b15e4ce5d132c408bca69ebb9cf146ed,https://jeff-da.github.io/audit-nonvalids/NodeBB__NodeBB-f1a80d48cc45877fcbadf34c2345dd9709722c7f-v4fbcfae8b15e4ce5d132c40/,Unstated requirement,instructions,trivial,"Replace ""must propagate the privilege types into a `types` object for both `users` and `groups`, where each key is a privilege name mapping to its type"" with: ""each member entry in the `users` and `groups` arrays must carry its own `types` object; user entries key by bare privilege name (e.g. `find`), group entries by the `groups:`-prefixed name (e.g. `groups:find`).""",claude-code + Opus 5; codex + GPT-5.6; mini-swe + Opus 5; mini-swe + GPT-5.6,,"Models attempt to expose privilege type information by attaching a single types map to the API payload, alongside the users and groups arrays. According to the task instructions, this should be acceptable because the spec only says to ""propagate the privilege types into a `types` object for both `users` and `groups`"" — it never says where that object lives or how its keys are spelled. However, the graded tests demand something more specific: each individual member entry inside the users and groups arrays must carry its own types map, with user entries keyed by bare privilege names (asserting `admin.types.find === 'viewing'`) and group entries keyed by `groups:`-prefixed names (asserting `regUsers.types['groups:find']`). Every model implemented the stated requirement at the payload level and passed 12 of the 16 required tests, failing only the ones that encode this unstated per-member placement and key-prefix convention. The failure reflects a gap in the instructions, not a model error."
instance_ansible__ansible-40ade1f84b8bb10a63576b0ac320c13f57c87d34-v6382ea168a93d80a64aab1fbd8c4f02dc5ada5bf,https://jeff-da.github.io/audit-nonvalids/ansible__ansible-40ade1f84b8bb10a63576b0ac320c13f57c87d34-v6382ea168a93d80a64aab/,Spec contradicts the graded test,instructions,heavy,"Rewrite ""(the timestamp column must be a valid 10-character epoch value)"" to gold's actual heuristic: ""treat input as mnttab if ANY line contains a 10-char epoch field; parse last column as int (0 allowed)"". Add: BSD mounts with empty options must OMIT the `options` key; AIX options preserve embedded whitespace (""rw, log =/dev/hd8""). Tests: stop passing timeout=0 (spec says <=0 must fail) — use a small positive timeout.",claude-code + Opus 5; codex + GPT-5.6; mini-swe + Opus 5; mini-swe + GPT-5.6,,"Models attempt to build the new mount_facts module exactly as the 300-line specification describes, and they get most of the way there, passing 40 of the 48 graded tests while all failing the identical remaining cluster of BSD, AIX, Solaris, and timeout cases. According to the task instructions, a Solaris mnttab file is recognized because ""the timestamp column must be a valid 10-character epoch value"", yet the graded fixture contains the line ""rpool/ROOT/solaris / zfs dev=4490002 0"", which must parse to a timestamp of 0 -- the reference solution uses a looser any-line-has-10-characters heuristic, so a spec-faithful per-line check rejects the file. The tests also demand behaviors the instructions never state: BSD mounts like ""devfs on /dev (devfs)"" must omit the options key entirely rather than report an empty string, and AIX option fields must preserve embedded whitespace such as ""rw, log =/dev/hd8"". Finally, the timeout tests pass timeout=0 (the test's own comment calls it a ""hack"") even though the specification says a timeout of zero or less must fail validation. Four independent models missed the exact same eight tests, so the failure is not a model error."
instance_ansible__ansible-bf98f031f3f5af31a2d78dc2f0a58fe92ebae0bb-v1055803c3a812189a1133297f7f5468579283f86,https://jeff-da.github.io/audit-nonvalids/ansible__ansible-bf98f031f3f5af31a2d78dc2f0a58fe92ebae0bb-v1055803c3a812189a1133/,Spec contradicts the graded test,instructions,trivial,"Replace ""remove_values must return a new object with the same outer container type as the input"" with ""remove_values keeps the existing Sequence handling: sequence inputs (including tuples) are returned as lists"". Also soften the line 11 ""implement the new specification verbatim; do not preserve any prior behavior"" order to scope it to key-rewriting only, since graded test_strings_to_remove asserts tuple input -> list output (gold's legacy behavior).",codex + GPT-5.6; mini-swe + GPT-5.6,claude-code + Opus 5; mini-swe + Opus 5,"Models attempt to make remove_values preserve the input's container type, adding explicit tuple handling such as ""if type(value) is tuple: new_value = tuple(new_value)"". According to the task instructions, this is required: the spec states ""remove_values must return a new object with the same outer container type as the input"" and even orders the model to ""implement the new specification verbatim; do not preserve any prior behavior...to match pre-existing expectations"". However, the graded pre-existing test test_strings_to_remove asserts that a tuple input comes back as a list -- the legacy behavior the instructions explicitly told the model not to preserve -- so the spec-faithful patch fails with a tuple-versus-list mismatch on the VALUE_SPECIFIED case. Runs that ignored the instruction sentence passed, and runs that followed it failed, so the failure is not a model error."
instance_ansible__ansible-c1f2df47538b884a43320f53e787197793b105e8-v906c969b551b346ef54a2c0b41e04f632b7b73c2,https://jeff-da.github.io/audit-nonvalids/ansible__ansible-c1f2df47538b884a43320f53e787197793b105e8-v906c969b551b346ef54a2/,Unstated requirement,tests,trivial,"In the graded unit test for bigip_message_routing_route, patch `module_provisioned` to return True in setUp (exactly as sibling f5 module tests do), so conventional patches that include the `if not module_provisioned(...)` scaffold don't hit real HTTP (ConnectionRefusedError). Gold omits the check but the mock should tolerate both readings.",claude-code + Opus 5; codex + GPT-5.6,mini-swe + Opus 5; mini-swe + GPT-5.6,"Models attempt to write the new bigip_message_routing_route module using the standard F5 module scaffold, including the conventional `if not module_provisioned(self.client, ...)` guard in exec_module — the dominant pattern across sibling F5 modules in the repo. According to the task instructions, this should be acceptable: the spec describes the module's behavior and never says to omit the provisioning check that nearly every neighboring module performs. However, the graded unit test mocks only the manager's exists/create_on_device and version methods and does not patch module_provisioned (which sibling F5 tests do patch), so the conventional guard makes a real HTTP call and dies with ConnectionRefusedError. The gold patch happens to omit the check entirely, meaning functionally correct, convention-following patches fail purely on a hidden mock call-graph contract, so the failure is not a model error."
instance_ansible__ansible-d62496fe416623e88b90139dc7917080cb04ce70-v0f01c69f1e2528b935359cfe578530722bca2c59,https://jeff-da.github.io/audit-nonvalids/ansible__ansible-d62496fe416623e88b90139dc7917080cb04ce70-v0f01c69f1e2528b935359/,Spec contradicts the graded test,instructions,trivial,"Replace the sentence 'Errors related to invalid or unrecognized units must raise a `ValueError` with the message ""Value is not a valid string""' with: 'Unrecognized unit suffixes must keep the pre-existing ValueError message beginning ""The suffix must be one of""; only non-string/unparsable values raise ""Value is not a valid string"".' Also amend line 50's `3 prettybytes` example accordingly. This aligns spec with graded P2P test_human_to_bytes_wrong_unit.",codex + GPT-5.6,claude-code + Opus 5; mini-swe + Opus 5; mini-swe + GPT-5.6,"Models attempt to rewrite the human_to_bytes validation so that a bad single-letter suffix like ""1024s"" or ""1024w"" raises a ValueError whose message says the value is not a valid string, and all 22 of the new tests pass. According to the task instructions, this is required because ""Errors related to invalid or unrecognized units must raise a ValueError with the message 'Value is not a valid string'"". However, the grading also includes the pre-existing test test_human_to_bytes_wrong_unit, which demands the legacy error message beginning ""The suffix must be one of"" and reports ""Regex pattern did not match"" against the spec-mandated wording; those two tests alone sink the run. A patch that follows the instruction sentence faithfully is guaranteed to fail this test, and only patches that ignore the instruction and keep the old message can pass, so the failure is not a model error."
instance_ansible__ansible-d72025be751c894673ba85caa063d835a0ad3a8c-v390e508d27db7a51eece36bb6d9698b63a5b638a,https://jeff-da.github.io/audit-nonvalids/ansible__ansible-d72025be751c894673ba85caa063d835a0ad3a8c-v390e508d27db7a51eece3/,Dataset defect (mixed verdict); Environment residual,instructions,moderate,"Sentence ""If `ip forward` or `fabric forwarding mode anycast-gateway` is absent from an interface section, the module must treat that attribute as `True`"" inverts gold (present→True, absent→None/unset); replace with ""...must leave that attribute unset"". Add: ""In deleted/overridden state, a play entry naming a nonexistent interface with no attributes must still emit the bare `interface <name>` command."" Only cures the spec-contradiction; the L2-default shutdown misses remain genuine.",claude-code + Opus 5; codex + GPT-5.6; mini-swe + Opus 5; mini-swe + GPT-5.6,,"Models rewrite the nxos_interfaces config and facts modules and, following the instruction that when `ip forward` or `fabric forwarding mode anycast-gateway` is absent the module ""must treat that attribute as `True`"", conclude that no reset command is ever needed for these attributes in the deleted state (if the value is always True, there is nothing to turn off). However, the reference implementation does the opposite of the instruction — it maps a present command to True and an absent one to unset — and its deleted state emits ""no ip forward"" and ""no fabric forwarding mode anycast-gateway"", so the spec-faithful reading fails test_1. The instruction sentence directly contradicts what the graded test rewards, so that failure is not a model error. Note this instance is mixed: other attempts fail on genuinely spec-covered behavior (a missing bare ""interface Ethernet1/4.101"" line for a name-only nonexistent sub-interface, and a missing ""shutdown"" when a port reverts to the layer-2 default), and those remain real misses."
